name,email,address
Rebalance Sports Medicine Physiotherapy & Chiropractic Downtown Toronto,info@rebalancetoronto.com,"110 Yonge St #905, Toronto, ON M5C 1T4, Canada"
Rebalance Sports Medicine Physiotherapy & Chiropractic Downtown Toronto,info@rebalancetoronto.com,"155 University Ave Suite 303, Toronto, ON M5H 3B7, Canada"
Foundation Physiotherapy & Wellness - Cityplace,cityplace@foundationphysio.com,"383 Front St W, Toronto, ON M5V 3S8, Canada"
Yorkville Sports Medicine Clinic,info@yorkvillesportsmed.com,"55 Avenue Rd Suite 2000A, Toronto, ON M5R 2G3, Canada"
Bloor Park Physiotherapy and Rehabilitation,contact@bloorparkphysiotherapy.ca,"726 Bloor St W Unit 209, Toronto, ON M6G 4A1, Canada"
Adelaide West Physiotherapy,info@adelaidewestphysiotherapy.com,"366 Adelaide St W #403, Toronto, ON M5V 1R9, Canada"
St.Clairwest Physiotherapy,info@stclairwestphysio.com,"1466 Bathurst St #306, Toronto, ON M5R 3S3, Canada"
"Rosedale Wellness Centre - Massage, Chiropractic & Physiotherapy Toronto",icons@2x.png,"120 Bloor St E #105, Toronto, ON M4W 1B7, Canada"
PhysioDNA Toronto (Spadina),clinic@physiodna.com,"116 Spadina Ave. Unit 201, Toronto, ON M5V 2K6, Canada"
Bay and College Physiotherapy & Rehab,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"790 Bay St. Unit no. 105, Toronto, ON M5G 1N8, Canada"
Triangle Physiotherapy King West,info@trianglephysiotherapy.com,"980 King St W, Toronto, ON M6K 3N2, Canada"
