name,email,address
Journey Physio at the VRC,dave@journeyphysio.ca,"4867 Ontario St, Vancouver, BC V5V 3H4, Canada"
Burrard Physiotherapy,info@burrardphysiotherapy.com,"1190 Hornby St #702, Vancouver, BC V6Z 2K5, Canada"
Port Coquitlam Physiotherapy & Sports Injury Clinic,user@domain.com,"2185 Wilson Ave, Port Coquitlam, BC V3C 6C1, Canada"
Lake Country Physiotherapy,info@lakecountryphysio.com,"7B Progress Dr, Orillia, ON L3V 0T7, Canada"
Ontario Manual Physio Centre,%20ontariomanualphysio@gmail.com,"400 Dundas St E #105, Mississauga, ON L5A 1X5, Canada"
Bentall Physiotherapy,info@bentallphysiotherapy.com,"Located at the Mall Level of Tower TWO of, Bentall Centre, 555 Burrard St, Vancouver, BC V7X 1M8, Canada"
Hartwell Therapy 2.0 Ontario Street - Ryan Jaw Vancouver Acupuncture Clinic,info@hartwelltherapy.com,"8205 Ontario St, Vancouver, BC V5X 0A1, Canada"
"Collingwood Physiotherapy Vancouver Physio, Massage",collingwoodphysio@shaw.ca,"3419 Kingsway, Vancouver, BC V5R 5L3, Canada"
Rebalance Rehab,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"45719 Ontario Ave, Chilliwack, BC V2P 6S8, Canada"
Anatomy Physiotherapy Clinic - Orleans,info.orleans@anatomyphysioclinic.com,"1615 Orléans Blvd, Orléans, ON K1C 7E2, Canada"
Park Lawn Physiotherapy,info@parklawnphysio.ca,"658 The Queensway A, Toronto, ON M8Y 1K7, Canada"
Sheddon Physiotherapy and Sports Clinic,admin@sheddonphysio.com,"1300 Cornwall Rd Unit 103, Oakville, ON L6J 7W5, Canada"
South Coast Physiotherapy,delhi@southcoastphysiotherapy.ca,"216 West St Suite 305, Simcoe, ON N3Y 1S8, Canada"
"Rosedale Wellness Centre - Massage, Chiropractic & Physiotherapy Toronto",icons@2x.png,"120 Bloor St E #105, Toronto, ON M4W 1B7, Canada"
Rebalance Sports Medicine Physiotherapy & Chiropractic Downtown Toronto,info@rebalancetoronto.com,"110 Yonge St #905, Toronto, ON M5C 1T4, Canada"
Rebalance Sports Medicine Physiotherapy & Chiropractic Downtown Toronto,info@rebalancetoronto.com,"155 University Ave Suite 303, Toronto, ON M5H 3B7, Canada"
Myo Markham,chinatown@myodetox.com,"8228 Birchmount Rd B, Markham, ON L3R 1A6, Canada"
Bay and College Physiotherapy & Rehab,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"790 Bay St. Unit no. 105, Toronto, ON M5G 1N8, Canada"
The Running Physio,info@therunningphysio.ca,"8 Gladstone Ave Unit 2, Toronto, ON M6J 3K6, Canada"
Foundation Physiotherapy & Wellness - Cityplace,cityplace@foundationphysio.com,"383 Front St W, Toronto, ON M5V 3S8, Canada"
St George Physiotherapy Clinic,info@stgeorgephysio.ca,"180 Bloor St W Suite 1202, Toronto, ON M5S 2V6, Canada"
Royal Physiotherapy Clinic,admin@royalphysiotherapy.com,"130 Adelaide St W Concourse Level, Toronto, ON M5H 3P5, Canada"
St.Clairwest Physiotherapy,info@stclairwestphysio.com,"1466 Bathurst St #306, Toronto, ON M5R 3S3, Canada"
